fips,,id,YEAR,SEASON,MONTH,STATE,COUNTY,LOCATION DETAILS,NEAREST TOWN,NEAREST ROAD,OBSERVED,ALSO NOTICED,OTHER WITNESSES,OTHER STORIES,TIME AND CONDITIONS,ENVIRONMENT,DATE
53051,609,1570,1998,Fall,September,WA,Pend Oreille County,1.75 to 2 Miles directly N.W. of Ione.,Ione,,"Three sets of tracks.Apparently traveling together. Found in muddy, flat area back in woods. No residences or logging operations present within .75 to 1 mile. Tracks were described as Large (18""), Medium (15-16"") and Small (13""). Found by two bear hunters (On foot/No dogs used). Tracks in lower (depressed) area of mud flat filled with rain water. Undetermined age of tracks, but believed to be fairly recent (within last 48 hours) due to lack of degradation of track edges. Plaster cast (single) taken of largest. Cast condition is poor, due to reporting parties lack of familiarity with casting technique. Cast was taken within 24 hours of track discovery.",Reporting party has hunted same area for years and never seen anything of this nature before. ,"Bear hunting on foot.  CONFIDENTIALITY: This information is offered to assist those that research the Bigfoot phenomenon. Since it only involves a track discovery (versus an actual sighting), it may not be of much use to you. On the other hand, since it involved 3 different sized tracks possibly made by a small band (family group?), it may be of value in group-dynamics study of this creature. If there is a way to share this info with serious researchers only (versus enticing any net-surfer with a gun to invade the woods around Ione) I would prefer it. If you are going to post it in the general area, please include the request for low-profile activity. The reporting party is reluctant to discuss this with others due to the stigma attached, and does not run around showing the casting and pictures to strangers. He mainly took them as proof to himself that he found what he did. As I mentioned, the casting is pretty rough. Reporting party is a 50+ y/o resident of the Spokane area. I believe his recounting of the incident and the Ione-area history of sightings (as relayed to him by his contacts) to be unembellished and factual. I wish to remain confidential as a source. Though this info is second-party, I hope it is of some help.",,,"Undeveloped forested area, accessible only by permission through private land. Forest type is predominantly pine and fir, with cedar and scrub alder found in marshy areas/streamsides. No current vehicle roads (abandoned and overgrown logging roads encountered occassionally). No signs of other hunters in area. Due to restricted access, unlikely that any other parties were in the area.",
53051,610,1571,1991,Spring,May,WA,Pend Oreille County,"Very close to the US Outdoors Training Base, close to Ione. ",Ione,,"7pm, driving from Nelson, BC to Spokane WA, myself & my girlfriend were driving a few miles outside Ione. At the same time, we both noticed something on the highway. We had to stop the car very quickly to avoid hitting it. It was quite small....maybe 5'2"", 150lbs, standing on two legs, covered with hair. We have no idea what it was, but was unusual. We both had a really good look at the thing, although only a second or two long, the headlights were directly shining on it.   My girlfriend was driving and as I saw this thing on the road, I said, ""look out for that....that.....that...that....mugwamp"". Refering to the bigfoot in our local beer ads. I yelled stop...stop & she said no way and drove off.",,"Driving, watching in the road.  CONFIDENTIALITY: No cooks please. I did not say I saw BIG FOOT. I said I saw something strange on the road. I do not know what it was.","No, we live 100 miles away from there.",,Close to a stand of trees on the side of the road. ,
53051,611,1572,1996,Summer,August,WA,Pend Oreille County,"The name of the county was Pend O'reille( pronounced ""pond o'ray"") and the closest town was Ione (pronounced ""eye-own"") about 10 miles by road or 5 miles by air. ",Ione,State Rd. #20 off Rocky Creek Rd,"My son and I heard a howl or scream in the deep woods of the Colville National Forest in N.W. Washinton @ 1:00 A.M. The sound was more like the recording found by the Westen Bigfoot Society on the net. Actually, it was exactly like that one. It sent shivers down your back. We were a measured 6 miles N. of state rd. #20 on Rocky Creek Rd. The sound came from approx. .5 to 1 mi. northwest of our campsite. We had noticed for the past couple of hours prior to this that the forest was absolutly quiet. No noise at all.  Please contact me if you want any other info.",,Son and father were camping.,,,,24
53051,612,1573,1996,Fall,October,WA,Pend Oreille County,"5-miles South of Ione, one mile Northeast of the river.",Ione,,"October 1996. While deer hunting with brother, observed two sets of clearly defined footprints in mud. Prints were human in shape, with slightly different characteristics. Five toes, proportionally wider than a human footprint. One print was about 18"" in lenth (about 7"" wide), the other was about 10"" by 4"". Prints were so well defined that skin texture and hair imprints could be seen. *Note: Brother and I are both very familiar with both Grizzly and Black Bear prints. These prints were neither. Five minutes after discovering the prints, a very loud pounding began in the densely wooded area downhill from our position. Sound was similar to that of a base drum, or a large rock on a hollow log. We estimated the sound to be coming from no more than 50' away, and bagan moving away. 300-yards from the first set of prints, we came upon a third set of prints which appeared (in size) to fit somewhere between the first two sets.  *Note: My brother and I have no doubt that what we witnessed were sasquatch tracks. The noise we heard remains a mystery, although it is forever etched in my memory. Feel free to disclose our sighting as you wish. I do ask that you use only my first name. ",Banging noise: see above.,Hunting Whitetail Deer.,,,"Generally: 5 miles south of Ione, 1 mile north of river. First two sets found on old 'dozer logging road, the area was surrounded by Douglas Fir forest (~50-years' growth), and on a moderately sloping hillside (~7-10%). Two miles to nearest road, 1000 yards from fresh logging site. Second set was 300 yards east in thickly wooded jack-firs (15'-25' fir trees), on level plateau on same hillside.",26
53053,615,1584,2000,Winter,March,WA,Pierce County,,Roy,507,"R. and I were walking up the road at about 6:30 pm. We were doing a follow up investigation of the area after hearing of a sighting of bigfoot. We had some wood and paper but I forgot matches at the truck so we had to turn around and walk back to the truck. We had walked through a half mile of woods and through a clearcut about half mile wide. On the way back to the truck and upon leaving the clearcut and entering the woods, I felt the hair raise on the back of my neck and I thought it might be because it had gotten dark and my senses were playing tricks on me. But after walking through the woods a quarter mile and getting closer to the truck, we both heard very distinct and loud knocking of a piece of wood striking another piece of wood about 12 - 15 times. The noise was coming from near my truck. Then we heard two more and it stopped. We got to my truck and I realized I had left my dome light on. We grabbed my spotlight and waited near the truck for a half hour to hear more knocking and we also knocked two pieces of wood together ourselves but couldn't get a reaction. I shined the spotlight into the forest and suddenly we heard what sounded like a big man take off at a sprint though the woods. I know what deer and elk sound like and this sounded like two feet running through the woods at a sprint. This was no deer or elk. My heart started pounding. We waited at the truck until 8 pm when another truck came down the road so we left. We didn't hear anything else but noticed the dogs would start barking in certain areas and then stop but I didn't think that was significant evidence of anything unusual.",,R. J.,Loggers reported having been chased out of area by a bigfoot a couple months ago.,6-8 pm. Getting dark. Temperature was around 48 F. Broken clouds. Once in a while a quarter moon would peak through and light up the environment a little as it got dark.,Forested area with clear cut 1/2 mile up on gated road. A half mile away there are houses along the hwy and another house in the opposite direction from location (of incident) about 200 yards away. Hear lots of dogs barking off and on and lots of frogs. There was lots of standing water inside forested area.,13
53067,616,1585,1985,Summer,July,WA,Thurston County,Military Training area.,Yelm,510 & 507,"I was going through some training at Fort Lewis. My platoon was airlifted by helicopter out of the main post area for a one week manuever. It was after dark when we left and not being originally from the area, it was difficult to get my bearings. We were in the air around an hour before we landed and began our mission. All I know for sure location wise is that we were close to the Nisqually River and Mt. Rainier. The last night we were in the field, I was assigned to the LP/OP (listening post/observation post) in our defensive position's forward area.  After a week of almost non-stop war games we were advised to expect a non-eventful night and to try and get some rest. My unit was set up in their defensive positions on a hill approximately 1/4 mile to my rear. I was in my foxhole alone with a wired field phone. My job was to notify HQ if our perimeters were breached. Not anticipating contact that night, I prepared myself for some needed rest.  Being from West Virignia, I am used to the woods and am comfortable in that setting. Around 2am, I heard loud pronounced footfalls to my front and right. I am certain they were bi-pedal. Thinking our trainers might be trying to harass us one more time, I prepared myself for my duties. However, all I heard were those footfalls continue to my left and away. Then I smelled what I can only describe as rotten cabbage or hot garbage. Very putrid. It actually made my eyes water. About 45 minutes or so after it left my immediate area, I heard a scream I still cannot describe. It sounded painful and maybe even a bit lonely but it made the hair on my neck stand up!  It was at an estimated range of a couple of miles perhaps. I nearly jumped up and ran back to my unit but I was afraid of getting into trouble and of being ridiculed so I stuck it out.   Additionally, there is so much deadfall and underbrush, I could have seriously hurt myself out there at night. I never saw a thing, but feel I may have experienced a sasquatch creature. The next morning, the smell still lingered in the air. Needless to say, i did not get any sleep that night. This has made a lasting impact on me personally as I am now interested in the research of these creatures.",The woods seemed to have gotten even quieter about the time I heard the footfalls come through my area.,"No one else in my platoon ever mentioned anything unusual that night. Again, we were all tired and perhaps they were resting. At any rate, my unit was quite a ways to my rear, but I cannot help but think someone had to have heard that scream.",,2:00 A.M.,Dense coniferous forest region somewhere near the Nisqually River and in the Mount Rainier area.,
53053,617,1586,1999,Summer,August,WA,Pierce County,,Gig Harbor,Hwy 16,"During the lighting storms, two of my friends heard loud grunts and screams. The noise was like a pig. The animal also made quite a racket moving in the brush. They were able to see red eyes reflected in the lighting and porch light. The animal was large but unknown how big due to very steep hill sloping away from house. The area is dense brush and briars. Eyes were about 3 to 4 inches apart. No tracks or hair were found by myself or my friends. There have been reports of other sightings in the area, but I'm not sure how far from his house they were.",,Watching the lighting.,,,Dense brush behind home on several acres. Brush is on very steep downward sloping hill.,
53067,618,1587,1990,Spring,May,WA,Thurston County,"Fort Lewis, in an area known as the South Rainier Training Area adjacent to two lakes known as Cat Lake and Fiander Lake.",Yelm,510,"During May of 1990 I was in the U.S. Army assigned to Fort Lewis, WA. I was a member of an airborne infantry unit designated as a ""Long Range Surveillance Detachment.""  In brief the unit's mission was to deploy 4-6 man teams onto a battlefield and conduct surveillance operations of enemy supply lines and troop movement corridoors. During that month the unit deployed my platoon into a drop zone known as Merril Drop Zone around 0300 a.m.The platoon's teams were to conduct surveillance operations of predesignated road intersections for a 48 hour period then link up together at the area known as Cat Lake in the South Rainer training area. From there we were to walk back to the barracks. All went as planned until the link up date.   Being a native Pacific Northwesterner and having a heart stopping run in as an eight year old with what I still believe to have been a bigfoot, I will not discount ""stories"" of bigfoot type info until they have been researched. There were at the time of this incident several stories about the ""Cat Lake Monster"" which had been circulated by the old timers since the early 80's.   There were about 13 of us in the platoon at the time and we were planning to just bag out for the night and not play the typical Army game of having a ""watch"" up all night. The night was very clear, which was unusual for this time of year, but the woods surrounding Cat Lake and the adjacent Fiander Lake can be almost pitch black. The only light was from a near clearing in the woods at the base of a small hill. The light came from the full moon. As the rest of the platoon quieted down I believed I was the only one awake. I initially heard what I believed was an elk or deer ""huffing."" It was a heavy sound of air being blown through nostrils. As I listened I pin pointed the sound to be coming from the hill over-looking our postion, on the far side of the opening about 100 yards away. The sound came both nearer and louder over the next few minutes, but was still a ways up the hill. As I listened the sound changed to a ""barking"" type, became more intense and was followed by the cracking of limbs and trees. I tried to see into the tree line but it was too dark. I then looked up at the tops of the trees on the hill that were backlit by the full moon. At that point I could see a tree shaking back and forth.The vocalizations became angry sounding and it occurred to me there may be a bear up there, although the sounds were very strange. The tree shaking contnued but whatever was shaking them came closer and closer, choosing different trees. I could by this time hear something sliding down the hill through the vegitation. Several of the smaller trees had fallen over.The area we were in is a natural rain forest and very swampy.There are several rotting trees in the area that can be pushed over with a few good shoves. By this time I was completely on my feet. I still had not seen the creature and was relying on the backlit and shaking trees to keep my bearings on the creature. I realized the shaking stopped at the edge of the clearing in front of me, and I could feel myself being stared at. The feeling was intense and distinctly threatning.  One of my fellow teamates, the only one senior in rank to me at the time, was by this time standing behind me though I did not know it until he spoke to me. He asked what was happening and I pointed to the area on the far side of the clearing where the tree shaking had stopped. As we both watched a large up-right form stepped into the edge of the moonlit clearing. It stood there for about 30-45 seconds and again made the ""huffing"" noise, much louder this time. The creature's form was very heavy looking, with broad shoulders, but very man-like. Shortly thereafter the creature turned slightly to our left and began running through the edge of the clearing. The creature ran in an up-right postion and swung it's arms in large arcs. The steps were loping and heavy. We could feel the feet hitting the soft soil.  It cleared the 300 yards of clearing in seconds and was gone. I turned and grabbed my gear, stuffing it in my pack, thinking to wake everyone up and get everyone moving the opposite direction the creature went. As I looked across the circle the platoon had spread themselves into, I realized everyone was already awake and jamming gear as fast as they could go. The entire platoon was awake, packed and moving the other way in bare minutes.  The following day I and the other member of my team that had awakend returned to the area in daylight. We found several trees that had been knocked over, and fresh dirt turned up on the hill side as though something heavy had walked/slid down the hillside. No actual prints though were located.",,"The platoon had just settled into the area.There was no threat"", so there had been noises of people eating, changing out of wet clothing, cleaning weapons. Basically a lot of clatter at first, but just prior to the incident it was absolutley quiet.",,11:00 P.M. dark and clear,"The area of Cat Lake and Fiander Lake is a low lying area in a natural rain forest.The area is very swampy and wet due to the nearby Nisqually River.The water table is very near the surface.The area is sledom traveled, and only by military units on manuvers.There are adjacent roads, but they are un-improved gravel surfaces.The woods are thick, and have a thick underbrush. There is a ""stench"" to the area that could be similar to the reported smell of bigfoot, but is most likely due to the constant decay of the wet wood. No ""smell"" was apparent that night other then the decay, which is present still to this day (I have been back several times now).",
53053,619,1589,1979,Winter,November,WA,Pierce County,Clearwater Wilderness area.,Greenwater,Hwy 410,"My partner and I were hunting the late deer hunt in Nov. We were hunting a blowdown area near a large stand of old growth timber. When we came up on some very large tracks not bear and not human. My partner and I both have been hunters and woodsman since we could barley walk. Neither of us had ever seen tracks like these. The strangest part was the woods became very silent, no birds nothing I looked at my partner and said I know something is watching us I got the same feeling I would get in VietNam. We never saw what made the track but we left the area very hastily.",,Deer hunting the late season early morning.,,"The weather was very cold and unusal for Washington State, a dry powder snow.",Blowdown area just outside a stand of old growth Fir trees. Creek running through the blowdown timber.,
53053,620,1591,1996,Winter,January,WA,Pierce County,,Gig Harbor,,"From 1/01/96 to 8/22/98 I have heard the sound that was broadcasted on the segment of Evening Magazine, 3/02/99, regarding the Bigfoot investigation. I have worked extensively with exotic animals and lived in the wilds of Alaska, Colorado and Washington. I know that the cries I have heard while living at my current address are unlike any I have ever heard in my life. The only other time that I have heard anything similar was when I tuned into last nights program and listened to the recording that was replayed by the investigators in Aberdeen. I was relieved to know that what I heard was not my imagination and I could discontinue coming up with feeble excuses to explain what the noise was.  The cries always occurred late in the evening, west from where I live. I am situated on top of Peacock Hill just north of Gig Harbor. Always the cry was answered by another one in the distance. One evening it was so close that it woke me up from a deep sleep. Unfortunately my dogs were awakened by it too and ran outside to silence it. I wish that I had had the sense to record it. You would find it identicle to the recordings you have now. Every evening I listen for it. My bedroom window faces the direction of where the cries came from. I keep it opened all night and have a recorder by my bed.",,"My husband and I have heard it upon retiring for the evening from 10:00pm on through sometimes past midnight. House guests have heard it also along with a neighbor, always at night. ",,,My house sits about three miles north of the town of Gig Harbor. Between the backyard of my house and the narrows waterway is forest and a valley with dwellings dispersed about but not densely populated.,1
53053,621,1593,1980,Spring,,WA,Pierce County,It happened in a wooded area near my house at McCord AFB.,McCord AFB,,"I was eight years old and playing in the woods with some friends. I accidently got separated from my friends and got lost in the woods. While walking down a trail I got the feeling that I wasn't alone. At first, I thought it was my friends playing tricks on me so I just coninued down the trail. A few minutes later I hit an odor that to this day I cannot describe, and I heard what sounded like something was growling at me. The growl or whatever it was, was coming from my left in some thick bushes.  I thought that I come to close to an animal that was eating some other animal, so I began to walk much faster. That's when I heard the scream. The scream seemed to surround me so I can only guess that it came from those bushes. I ran out of the woods as fast as I could. I never looked back so I don't know if whatever it was was following me. I never told anyone about it until my mother and I watched a documentary recently and I heard a recording of what was supposed to be a Bigfoot growling or mumbling. It was the same noise I heard that day. I can't say for sure that I was that close to a Bigfoot but it sounded just like that recording I heard on TV.",,I don't know if any of my friends heard the scream. I was too scared and I never brought it up with anyone.,,,,
53053,622,1594,1997,Fall,November,WA,Pierce County,"Corral Pass, (just before Crystal Mt. Ski Resort), near the top of the pass.",,,"4 close friends and myself were camping at the base of Corral Pass. 2 of us have been believers for quite some time, the other 3 are staunch skeptics.  On the 2nd day of the outing all 5 of us decided to go check out Corral Pass. We all packed into my 4-Runner and off we went. By the time we got near the top, it was quite cold and snow-covered. We got out and plotted our hike. I immediately began looking for tracks and within 15 min., we found some.   They were bare (not bear) feet prints, about 16-18inches long X 8-10inches wide, and the tracks were about 45-60feet long, (which trailed off into an unsnowed on area).  We've always been outdoorsmen, and seen various animal tracks before, and we even considered that maybe these were possibly tracks from huge boots, which melted outward some, then re-froze, but then we noticed something that convinced all 5 of us. On the top of each print were a huge set of TOES, (but absolutely no claws).  As I pointed this out to my buddies they were speechless. We observed them individually, and in silence as we were all really convinced, staring at each other with flat-affects and big eyes.  We continued on our trek, quitely, and didn't speak of it the rest of the trip. We've actually been squatch'n for about 10 years and this has been our first visual of evidence..., when you least expect it, I guess!!",,Scouting out the area and deciding what hiking route to take.,,,"Near the top of Corral Pass, parking lot, about 400 yards in directly in front of honey-bucket. Park-like setting, mountain side filled with wild Noble Christmas trees, berries of all sorts, ravines, lake, and wildlife everywhere.",
53053,623,1595,1979,Winter,December,WA,Pierce County,"West of Vaughn, south bound on Rocky Bay Point Road. Approx. .5 mile south of our house.",Victor,Rocky Bay Point Road,"Upright figure covered in black hair walking across road 20 to 50 ft. in front of our car as we drove home. I did not see much, as I wasn't looking forward until my mother screamed. My mother claims the creature was like a hideous ape with arms dragging. Size: ""taller than your father""; Note: My father is 6'9"".  ",,Father driving car; mother in passenger seat. I was in back seat. ,,Sometime between 8 and 10 PM,"Road close to Minter Creek as it runs into Rocky Bay, a small inlet where the tide completely recedes, leaving mud flats. Location, to a fairly accurate degree, determined by my description of road crossing Minter creek, rural, 2nd growth forest with, at that time, individual houses every mile or so. Abundant blackberry and salal bushes.",7
53067,624,1596,1967,Summer,August,WA,Thurston County,"Ft. Lewis, escape and evasion training area.  ",,,"Three large individuals, two very large and the other about two-thirds their size. When we first saw the individuals they were on the far side of the open meadow. I remember that there was a bright moon out because we could see features such as trees, and objects well enough to run without tripping. In fact we could see through some of the pines. That is where we saw the individuals.  At first we thought they were the capture team looking for us. They were back in the tree line when we first saw them. There was a road not far behind them and we could see what we thought were soldiers moving very slowly (not forward or back at first). When they breached the tree line, Mickles decided that we had enough space between us and them to escape if they were part of the capture team. He thought it might be some like ourselves who escaped early and got out of the boundary area.  Mickles got up and started walking towards them and I followed. They were just silhouettes, but as we got closer Mickles waved at them, then they started moving towards us faster; not really running, just faster. Mickles called to them and they came faster without answering.  I have never heard of bears walking upright, and for sure not that fast but I didn't know that much about bears. I did know that something wasn't right and I was really scared. I really didn't think they were bears or people;  I don't know why.  I just know I have never been that terrified and so was Mickles. We ran as fast as we could without looking back, but felt they were gaining on us. I told Mickles to follow me and dove under and crawled up under a large low pine tree. We just lay there. We could feel their presence but didn't dare move.  That is when we smelled this weird odor. I am sorry I can't describe it to you. It was strong is all I can say. We stayed there for probably fifteen minutes and then I said let's head for the road and we did. By that time the maneuver was over and we saw a bus pull up by the compound. We ran as fast as we could and caught the bus. We never looked back, except in memory.  I have hunted all over the U.S. from Colorado, to Illinois, to Texas. What we saw the silhouettes of and smelled was not humans, or any bear.",They had an unusually strong odor. They made no sounds.,"Private Mickles and myself had left the training area earlier than we were supposed to and were staying out of the training area watching the escape and evasion activity.  I have thought about the incident many times in the past.  At the time neither Mickles or myself had ever heard of bigfoot;  we were in trouble for leaving the area early, so we had other things on our minds. This is just for your information. I have no idea if it is useful or not.",,,"T intersection of road, near escape and evasion training area,  tree-bordered meadow.",
53053,628,1600,1991,Spring,June,WA,Pierce County,Mineral lake near the town of Elbe and Mt. Rainier.,Elbe,Hwy 7,A Bigfoot-like creature was seen at a distance of 20 feet at midnight. Creature stepped out in front of person who was walking along some railroad tracks then the creature crossed the tracks and disappeared into the brush .,"Later that night two reenactors came running down from a hill they were camping on saying they were shooting at a "" banshee"". At about 3 am that morning something came through the reenactor camp and threw things around and knocked things over.",Witness was a Civil War reenactor and got lost while walking back to camp during a local Civil War reenactment that took place at the time.,,,Along some railroad tracks with brush and timber on both sides with an abandoned boxcar on some other tracks.,8
53053,630,1602,1995,Summer,June,WA,Pierce County,"Corrall pass campground about 6500 ft. The campground is about 8 miles up a washed dirt road. The road entrance is just before the entrance to crystal mountain ski resort, at Mt. Rainier.",Greenwater,Hwy 410,"There were two of us and a dog. We had the dog tied up to a nearby tree so he would not pick up a scent of a deer or bear and track it (hound dog). It was the second weekend of june 1995 and it remained daylight at that time of year and in that area until just after 10:00.   At about 8:45, we had a fire going and had already eaten. We were sitting and enjoying being where we were. There was some movement in the bushes so we both looked up to see a doe staring at us. She must not have seen or smelled us until she got relatively close. We kept the dog busy with food scraps as she ran away so he would not start howling. Everything returned to normal.   At about 9:00 we heard a rhythmic sound stepping on leaves and small twigs. We both looked up and saw across the ravine from us about 30 yards away, two large legs walking along a path on the upward slope. The legs were covered with very black and long hair and had a definite bend where a knee would be located. I held the dog and the other person walked into the ravine to see if he could see the object up close. He saw the animal's legs step up to climb higher up the slope. As it did he could see it step over a large fallen log. Because of the position were were in and the thickness of the trees it was impossible to see the entire figure.   At that moment all movement stopped and it became silent. We knew we were being watched from a safe location... we packed our tent quickly and knew we could not make the descent to the paved road at night and then another 35 to 40 miles to the nearest town. We moved as close as possible to a large group of loud drinking campers on the other side of the campground.. at three in the morning we were both awakened by the heavy pounding on the ground near our re-pitched tent. It sounded like, when you are running fast and stop suddenly then we heard three high shrill screams from 20 yards? away. It sounded like a crow with a voice.",,Sitting by the fire looking into the woods after just having seen a doe.,I submitted this report about a week ago but did not leave my name or e-mail address. I am resubmitting the information with my name and e-mail and would love to hear of any similar reports in this same area. ,Clear evening. About 9:00pm and 3:00am.,"We were camping initially on an open knoll looking toward a ravine and the upward slope of a mountain. Very close to Mt. Rainier, but only at the elevation of about 6500ft.",10
53015,634,1612,1972,Summer,August,WA,Cowlitz County,"It was near Mt. St. Helens, below Ape Caves. The witness would probably be able to give you more detail if she has a map handy.",Cougar,FR 83,"I'd just like to state that I'm not the witness, I'm making this report out on her behalf.  There was a huge crashing through underbrush. She described it as a very rappid thrashing/crashing sound, twigs snapping, etc. It was followed by a loud, high pitched scream. She likened it to a woman screaming. She said it was very close, based on the distance she pointed out to me, maybe about 30-50 yards.  She said she and the four other people she was camping with her absolutely terrified and left the area right away.",She couldn't think of anything.,"5 witnesses. The woman I talked to, her younger brother, her boyfriend, her brothers 2 roommates.",,"It happened at dawn, unsure of the conditions at the time of the sighting. (But it was July/August, so the weather overall was fairly hot.)","Forestland; once again, the witness would be able to give you better info.",
53057,637,1617,1986,Summer,August,WA,Skagit County,"At Lake 10, two miles south of town.",Mt. Vernon,I 5,"I left an open can of jack mackerel 20 yards up from our campsite. A couple hours after we went to sleep something wandered into our camp, omitting quiet high pitched noises. Then the can of fish came rolling down the hill past my tent. Thinking it was a bear I loaded my .22 rifle and shot up to scare it off. Then this huge creature ran off through the swamp. From the noise it was making one can assume it was big, whatever it was. So we got out of our tents, built a fire, disposed of the fish and talked about it for 20 min. or so. Shortly after we went back into our tents loud screams came from the other side of the lake.  I've a good amount of time in the woods and I have never heard anything even close to what I heard that night. The screams went on for 30 minutes. We were shooting our rifles, yelling, banging pots, and this creature just kept on making these horrible screams, similar to the screams I have since heard of Bigfoot on recordings.  One can dismiss the idea of a human playing a joke. What human in their right mind would continue to make these noises after we started shooting? From what I have gathered on the subject of Bigfoot my experience was a little uncommon.",,"Fishing, sitting around a fire eating.","Talked to 4 different people in a 5 year time frame that said they had seen a huge hairy creature in this area. Did not take them serious. These people were all separate and not aquatinted with each other in any way.  Also talked to one guy after my encounter. He said in the late 60s screams in this area were not uncommon, and that there was more than one Bigfoot inhabiting this area. He also noted that branches were twisted off of trees at a 10-12 ft. level.",,"Sixteen acre lake set in a bowl at 1200 ft., Mostly second growth fir. Also swampy areas and lots of deciduous trees. ",
53059,638,1620,1969,Winter,March,WA,Skamania County,"Bear Creek, about 6 miles Northwest of Carson",Carson,Bear Creek Rd,"On Sunday, March 9, 1969 my husband John and I had nothingto do and thought it might be interesting to drive up to our vacation property on Bear Creek, about 6 miles Northwest of Carson, WA. We called another couple who had camped there with us and asked if they and their children wanted to go along. We were primarily interested in seeing how much water was going through the creek.  We arrived at Bear Creek about noon. It was an overcast day, with a drop or two of rain. There was still snow on the road to our property, but it was slushy, and we didn't have any problems getting to the cable that was across the entrance to our camping sight. I was the first one to climb over the cable and start down the road. I had walked down to the bend in the road (snow was still deep in this road since it was well shaded). After I got around the ""corner"" I saw these ""huge"" depressions in the snow, and upon further examination decided they were footprints.  The footprints came from the direction of our camping sight, and then at the bend in the road, angled off toward the creek and just kept going into the trees lining the bank of the creek.  About that time, the rest of the party had caught up with me. I told them to ""stop!"" and look at what I had found. We all stood around trying to figure out how and why anybody would have been walking up the road and then over to the bank of the creek. It then dawned on all of us how big these footprints were....and the stride was enormous. My husband (6'1"" tall) tried to match the stride, and was short of making it by nearly 2 feet. We stood there for quite a while discussing this strange find, and came to no conclusion until the other fellow with us said ""May be Bigfoot did it"".  I had heard something about Bigfoot, but never really paid any attention to what I had heard. He continued to tell us what he had heard about Bigfoot and succeeded in getting us so nervous that we got in the car and left. We talked about this all the way home. There was absolutely no reason for anyone to be in that area at that time of year, and how would they have gotten down to our camping sight without using the same route we had used? The other fellow with us said we should tell somebody about what we had found. I said I wasn't so sure, that we would probably all be locked up in the nut house. So we said nothing, at least for 10 days. I just drove me crazy. It was all I could think of, and finally I decided to write a letter to the Sheriff of Skamania County. Two or three days later, the front page of The Columbian newspaper was covered with a large picture of the ""cast"" the Sheriff had made and a story relating the letter I had sent the Sheriff. The prints measured 22 inches long, 7 1/2"" wide, and 4 1/2"" at the heel. By the time the Sheriff investigated my report, the footprints that I had found were pretty well ""washed"" out from melting and rain....but, the Sheriff and his boys found MORE prints beyond our campsite...2 different sets (the second set was smaller).  The Sheriff used sulfur to make the casts because he said plaster tended to melt the snow. As far as I know, these casts are still in the Skamania County Sheriff's safe. After finding the footprints, and learning all we could about Bigfoot, we were a little apprehensive about going camping at Bear Creek. We finally decided we had never seen anything or been bothered before, so we continued to camp there the following Spring and Summer. We were all much more aware of our surroundings, and kept our eyes and ears open. We did see and hear things that made the hair on the backs of our neck stand up, and never stayed up alone at the campfire.","One very strange thing we noted when we first started camping that Spring, was the absence of all of the small animals that used to ""skitter""around. They were gone....no rabbits, no squirrels, no frogs or toads and very few birds. Where did they go....and WHY? We found strange looking droppings with animal hair, but never had the presence of mind to bring any of it home to have it analyzed. We also found strands and gobs of hairin tree branches. My husband caught a large steelhead, and we left the carcass on a stump to see if Bigfoot would take it. It was gone the next weekend, but who's to say a bear or cougar didn't take it?",,"Due to the huge uproar in Skamania County regarding Bigfoot, an Ordinance was passed on April 4, 1969 prohibiting the ""wanton slaying"" of Bigfoot. I think it was passed to protect the humans, since there were so many of them out looking for Bigfoot they were afraid they would shoot each other!",,,9
53059,639,1621,1969,Winter,March,WA,Skamania County,East of Beacon Rock.,North Bonneville,Hwy 14,"We (myself and husband John) met with Don Cox the latter part of March, 1969. He had read the article in the newspaper about the footprints we had found, and called to see if we could get together. We agreed, and met him at a designated place, and proceeded to go to Bear Creek where we had seen the footprints. It was his, and our intent to explore each others experience. He was riding in our car, and when we got to Beacon Rock, he said to slow down. The place where he saw Bigfoot was not too far ahead. He related the following:   He was going fishing at Bonnevile Dam shortly before 4 a.m., Wednesday, March 5. It was foggy, and when he emerged from a patch of fog, just a short distance East of Beacon Rock, his headlights caught something strange in the road in front of him. At first, he thought it was a tree which had blown over the highway...but it was moving across the road. He slowed down,and then realized it was no tree....but a large, fur clad creature crossing the road. He watched as this huge creature continued across the road, and then with one leap, cleared the embankment (14' high) on the other side of the road. He was so ""shook-up"" he had to stop at Jerry's Cafe in North Bonneville for coffee, and was there encouraged to report the incident. He said the ""animal"" was definitely not a bear. He reported all of this to the Skamania County Sheriff.   When we got to the spot where Don had seen whatever he had seen, we parked the car, got out, and Don explained exactly what he had seen (again),and showed us the 14' high embankment which the creature had jumped with such great ease.   During Don's recounting of his experience, he was still visibly shaken. I had the feeling he just wanted to tell us about this, and get out of there.  ",,,,4:00A.M. Foggy,,5
