,id,YEAR,SEASON,MONTH,STATE,COUNTY,LOCATION DETAILS,NEAREST TOWN,NEAREST ROAD,OBSERVED,ALSO NOTICED,OTHER WITNESSES,OTHER STORIES,TIME AND CONDITIONS,ENVIRONMENT,DATE
595,1549,1983,Fall,,CA,Del Norte County,,,,"This is my story; not very many people believe this.  When I was about 5 yrs old we lived in Hiouchi, Ca (1983). One day in the fall, I was staring out my living room window (it faced the woods), and I noticed something really big and hairy. It was standing up on two feet, and dark brown in color. It was about 25 feet away from the window. The creature walked right in between two trees that faced my living room window and just stood there and stared at me. I didn't even think of moving. It stood there for a while, it was probably five minutes or so, but back then those five minutes felt like forever! Then it just turned around and walked back into the woods. I know that it wasn't a bear because it did it all on two feet. I still remember all this and it happened a long time ago. I did tell my mom but she said that I probably saw a bear, but I know it was not a bear.",,,,,,
596,1551,1985,Fall,December,CA,Del Norte County,Off Highway 199 just south of the Oregon border. Also Avenue of the Giants off Hwy 101 Humboldt County California.,,,"A friend and I went driving to camp in Oregon on Hwy 199 in the fall of 1985. We didn't want to stay at a pay site so we pulled off on a side spur road in dense forest and set up a tent. We had our two malamute cross dogs with us who had been by our sides in many backcountry adventures.  As we set up our sleeping bags in the tent the dogs began growling very menacingly with the hair up full on their backs. We thought there might have been a bear around and worried that they would take off after it and be difficult to catch. We left them outside anyway and crawled into our bags to sleep.  Then the dogs began whimpering and trying to claw their way into the tent. We nervously let them in and not long afterwards began to hear howling; first just one voice but then followed by many voices. I would estimate that the sounds came from about 100 yards away. It was reminiscent of hearing a coyote pack or wolf pack but these were not canine voices. They ranged in pitch from ""childlike"" to adult male and higher female voices. It sounded like a really loud frat. party in the middle of nowhere on a stormy blustery night in the dark. It sounded like the people were talking very loud yet howling at the same time. I've had many experiences hearing coyote packs and this was not what I heard. I have no further explanation. We braved through the night and got the heck out of there in the morning.  The second ""experience"" I had at Avenue of the Giants was with the samefriend while we were hiking a trail there. It was again the fall of 1985 about a month later than the first. We had a map with us and decided to cut a loop short by going crosscountry through the dense redwood forest.  Not long after we got started, the dog we had with us (same as one of the dogs previous) lunged out full on his leash and began dragging my friend up a steep incline. We reached the top and noticed large foot shaped impressions (maybe 14-18 inches long and 8-10 inches wide) in the duff below. Above us on the length of ground the dog drug us through, braches were snapped off clean up to 10 feet high on the trees. We made our way back to the main trail with no further incident.","The most striking thing was the odd behaviour of the dog(s). Anyone who has owned a malamute knows they are very bold dogs that basically aren't afraid of anything especially when there's more than one. When the dogs (near Oregon) tried to claw their way into the tent, it sent shivers up my spine and I must say I didn't get much sleep that night. Again, with the incident at Richardson Grove, the dog actually stood up on its hindlegs and ""walked"" while lunging forward up a steep bank dragging my friend who weighed about 170 lbs with it in its pursuit of the thing that left big footprints. Never had that dog do that before or since in spite of many wilderness adventures, bear, elk, deer etc. encounters.",One witness besides myself.,,First incident was about late October 1985. Second incident was early December 1985.,"First incident it was dense mixed forest of madrone, fir etc near a small creek at a low elevation, maybe 1000 feet, off Highway 199 about 10 miles south of the Oregon border.  Second incident it was mature redwood forest just off the Avenue of the Giants near Richardson Grove, CA off Hwy 101; again at a low elevation.",
600,1557,1995,Summer,August,CA,Del Norte County,,,,"Near Cresent City: a television production crew from Los Angeles videotapes what appears to be a bigfoot crossing a forest road in front of their RV. Among the crew was a Playboy model who subsequently appeared on the Jay Leno show and Hardcopy to discuss the incident.Sent to the Internet Virtual Bigfoot Conference (IVBC) mailing list: The ""Redwoods Footage""",,,,,,
603,1563,1967,Fall,October,CA,Del Norte County,,,,"THE PATTERSON / GIMLIN FOOTAGE  The Patterson/Gimlin footage is a short piece of 16mm film obtained by Roger Patterson and Robert Gimlin in 1967. It was obtained in the remote canyon of Bluff Creek, California, very close to the border of Del Norte County and Humboldt County.  Both Patterson and Gimlin lived near Yakima, Washington. Patterson had been trying to obtain film footage of a bigfoot for many years. During the period he had also written a book entitled, ""Do Abominable Snowmen of America Really Exist?"" He hoped some decent film footage would help answer that question.   In this book he calls attention to the unusually large amount of testimonial and circumstantial evidence pointing to the existence of large, forest-dwelling primate species in North America.   Bob Gimlin, a highly experienced outdoorsman, was a close friend of Patterson. He accompanied Patterson on several horsepacking expeditions in pursuit of film footage.   Equipped with a 16mm hand-held Kodak movie camera, the two set out in October, 1967 for a horsepacking trip in northwest California. Their search focused on the Bluff Creek area, because a number of tracks had been found there in prior years while logging roads were being built. Road construction workers had noticed large human-like footprints on the soft exposed soil of the new roads. The tracks were first reported to the press by construction worker Jerry Crew in October, 1958.   A local newspaper reporter came up with the name ""Bigfoot"" to describe the maker of the largest tracks. Tracks of six different individuals were repeatedly found on the new logging roads. The sizes ranged from 12.25 inches long to 17 inches long.   In the early afternoon of October 20, 1967 as Patterson and Gimlin, on horseback, followed a trail in the creek bottom, they spotted a bigfoot apparently drinking from the creek. Patterson's horse reared in alarm as the bigfoot stood up and began to walk away. Both the horse and Patterson fell to the ground, with Patterson briefly pinned by the fallen horse. Patterson quickly worked himself free and grabbed his hand-held movie camera.   While running toward the retreating bigfoot, Patterson shot 24 feet of film. Gimlin sat ready with his rifle in hand.  Not wanting another spooked confrontation with this bigfoot, Patterson and Gimlin decided not to pursue it into the forest. At that point they felt they had the footage they came for anyway.   After the footage was brought back to town and developed, a handful of investigators from the US and Canada returned to the film site and measured the tracks and other objects to help accurately gauge the size of the figure in the footage. The calculations suggested a height of 7 foot, 3.5 inches. The footprints were 14.5 inches long by 6 inches wide.",,,,,,20
613,1578,1998,Spring,June,CA,Del Norte County,3.6 miles south on Little Jones Creek Rd. off us highway 199 about 13 miles east of Gasquet California in Del Norte County,,,"On 06-13-98 I heard a sound like the one on your web site titled scream wave, this started around 10 pm and lasted at least until 2am. On 06-14-98 I heard this same sount in the afternoon and again at night (unknown times), this was also witnessed by 2 friends of mine that were spending the night. On 06-15-98, again around 10 pm this noise was heard again at about 10pm. On 06-16-98 I again heard this scream at 7:45 pm and it lasted for about 5 min. and last night at about 2am again this was heard. All sounds seemed as though they were coming form the ridge west of my residence. They were loud but from a distance, and continued from a min of 20 sec. to a max of 5 min.",none,at home reading,,as noted above and is still heard,"this area is very remote, it is on U.S. forest service land and the dirt roads are gated. The sound seems to be coming form the ridge east of me and as far a creeks, there is lots of underground springs.",16
614,1579,1998,Summer,August,CA,Del Norte County,"Northern California, Del Norte County, 15 miles north east of Gasquet Ca. off highway 199, up Little Jones Creek Road about 4 miles.",,,"I heard a scream very similar to the one located at http://www.planetc.com/users/bigfoot/sound.htm titled Bigfoot sounds from Art Bell radio show. This scream sounded like two seperate animals and lasted for about 22 minutes. Of all the calls I have heard, this one was the loudest and most frightening.","in June 1998, I also heard screams from the area east of my residence and that lasted for four days and nights. as of this date and time, I haven't heard anything else.",Getting ready for bed,,On 08-11-98 at about 10pm,"very remote, steep terrian heavily wooded area. Few roads in the area and only 3 residence's in a 6 square mile area.",11
645,1634,1976,Fall,September,CA,Los Angeles County,About 1/2 to 3/4 of a mile south of the West Fork River on a road that paralells the road that comes off of hwy 39 and goes back to Cogswell Resevour. The road comes off of hwy 39 also but goes westward and if I remember right it comes out in the Red Box or Rincon area The exact location of my occurance is: Lat=34.175N Long=117.800W,Azusa,Hwy 39,In 1976 while night hunting for bobcats on the fringe of the San Gabriel Wilderness Area I called in BF while using a dying rabbit call. I heard it scream so loud that the hair on the back of my neck stood up and I got goose bumps all over my whole body. I have been hunting now for 34 years and besides hunting 8 of the 11 western states I've also hunted the deep interior of Mexico and I have never heard anything like that before! It was the only time I have truly been frightened!   Even though I had a high powered rifle I knew by the shear volume of the Blood Curdeling Scream that what ever it was it was too big to kill with my .243 cal. It sounded like it was mad at me and kept moving to my right trying to get down wind of me. I figured that my very powerful Aircraft Landing Light that I was using to hunt with must have blinded him and hurt his eyes because as he was circling me trying to wind me he never looked my way thus allowing me to catch his glowing eyes.   ,,Only my brother who was my hunting partner that night. He was out of my truck and down in the ravine in Browns Gulch (on the opposite side of the road from BF) picking up a Grey Fox that I just called in and he shot while we were on that hunting stand,"Yes. Two other reports on the internet. One was just a mile south of mine at Morris Dam and another about 4 or 5 air miles north of mine in Cooper canyon.  Both were in the 70's also. What I find interseting is that the Latitude was about 6 to 7 air miles from each other,But the longitude was only about 1/4 mile difference in all 3 cases. Does this mean that BF is influenced by the magnetic forces of the earths rotation? Interesting thought! Homeing Pigeons use the earths magnetisum for directions so why can't BF do the same.","Clear wheather, 11:00 p.m. during a new moon phase. only lighting was starlite ","He was on Pine Mtn. at about 4,000 ft alt. Pine trees were predominate but on the other side of the road was a deep canyon called Browns Gulch which led down almost all the way to civilazation as you could see the city lights. Browns Gulch is a transition area with mostly Chapperal, Sage and Oak brush and maybe a few catcus almost like High Dessert terrian. ",
652,1643,1963,Spring,March,CA,Mariposa County,From hwy 99 turn E. on 132 and go about 40mi. Turn L. on Granitesprings Rd. until it intersects with Marshflat Rd. (about 3mi.)  ,"Coulterville, Ca",old Hwy 132 /Marshflat Rd. @200 yds off the road.,When I was 15 yrs. old I and a friend were outside of Coulterville Ca. It was at night on a ranch.  We were in bed looking out a window from a dark room. The window was six feet off the ground.There was a full moon outside. A Sasquach looked in the window and was looking around the room.  We watched it for about 10 minutes.He'd look around the room and then look around outside and look inside again. My friend told me to go outside and look around. When I looked around I could see nothing.The Sasquach had a head larger than a basketball. It stood about 7 1/2 ft tall.  I must have weighed about 400-500lbs.The head looked like an apes head and the eyes were about the size of tennisballs.  Lots of coarse hair.  The hair was dark brown.  ,,"one witness, named Jerry",One local story.  An old man on Marshflat Rd. said his daughter heard some really strange high pitched grunting animal sounds.,It was night. 10'30 PM.  Clear with a full moon.,Wooded hilly country around an old adobe house about 200yds. away.,
660,1653,1978 or 79,Fall,,CA,Shasta County,All we know is it was a right curve leading to a left curve and so on. Haven't been able to identify the curve since then but have tried.,"Redding, CA",299 west; Buckhorn Mountain,"We saw ""bigfoot"" about 4 am in Shasta County, CA while driving on 299West.  It was 1978 or 1979 and we were driving from Weaverville, CA to Idaho. Upon reaching Susanville, CA we had a hard time buying gasoling because it was during the shortage.  We decided due to the desolate nature of the road we would be driving it would be better to go back home.  We felt many gas stations would be closed and we couldn't get fuel when we needed it.  Anyway, we were driving west on 299 when from our left a reddish-tan (more tan than red) image stepped onto the roadway and in two strides was over the road and into the ravine on the right side of the road.  It was only illuminated in our headlights briefly and the sighting was only a few seconds.  My husband and I hadn't been talking and after a minute or so my husband said ""Did you see that?"".  His question confirmed to me that I indeed saw what I thought I saw.  I would estimate the bigfoot to be about 7' tall.",,My husband and myself.  Our child was asleep.  We were driving home to Weaverville.,"I reported the incident some time later to a man in Redding, CA and was told there had been other sightings on 299 west (Buckhorn Mountain).",4am. weather clear and crispy cold.very dark except in headlights of the car.,299 west is cut into the side of the mountain.  it is heavily forrested on both sides.,
661,1655,1998,Winter,December,CA,Del Norte County,"East of Highway 101 just south of Smith River, Del Norte County, California",,,"On 12-22-98 at about 5pm I was driving westbound on Lake Earl Drive approaching Highway 101 controlled intersection.   Because it just finished snowing, my son was admiring a snow-covered area of a mountain that had just been clear-cut. Looking up also, I noticed a human like figure at the top portion of this area. This figure was walking down and appeared to be about 7 or 8 feet tall covered in reddish-brown fur.  Not believing what I was seeing, until my son said ""oh shit"" and both of us continued to just sit there and watch this critter. As it continued down the hill, it stepped up and over a fir sapling, and stopped and looked around. It started walking again (a total of about 400 yards) and disappeared into the forest at the base of the hill. Because both of us were in total shock, we didn't notice 3 other cars that had pulled over to the side of the road to watch this animal until it had walked out of sight.",None,Driving home,,,Thick forest area with large recently clear-cut logged area. About a half mile south of Smith River.,22
662,1664,1979,Spring,May,CA,Del Norte County,"County of Del Norte, south of U.S. Highway 197, approximately 1 mile west of Highway 199 in a small park along the Smith River called Simpson Grove.",,,"About three hours after eating dinner I was sitting around a campfire with 3 friends and my husband.We were just sitting around the campfire and talking when we heard a loud crashing and rustling in the woods about 50 feet from where we were. I guess we all turned at the same time and just sat there in amazement, looking at a set of red glowing eyes. Not like a reflection from an animal, but glowing, much like a red light.  What was also very odd about this is that it just stood there and kept watching at us for a minute or so and because it was dark, I could not see the outline of the body but could tell it stood about 8 feet tall. It then turned and walked away making the same crashing noise. Nobody said anything for a few minutes but after the shock wore off we really thought it was very spooky. We have lived, camped, hunted and fished in this county for many years but have never seen anything like this before.",,"Sitting around the campfire, talking.",None.,May 1979 at about 10 P.M.,Wooded mountainous forest containing Old Growth Redwood  trees next to the Smith River. The elevation is around 250 feet.,
663,1665,1996,Spring,June,CA,Humboldt County,"Fish Lake, Humboldt County, Northern California. Nearest Highway would be 96, along the Klamath river.",,,"I found a 3 toed footprint and a 13/2 inch footprint sometime after 6pm. I have plaster casts and footage of the prints before I made casts out of them. I fell asleep about 9:30 pm. While sleeping I was woken up to noises outside my tent. The first nise I heard were leaves being stepped on but I told myself it's nothing a couple of times. I began to fall back to sleep when I started to hear it again but this time it was louder and heavier.  The thing that started to get me concerned was the fact that I started to feel the vibration in the ground everytime it took a step (I was facing stomach down when I woke up) so I just layed there listening and all of a sudden the noises stopped, whatever was out there was breaking branches on the ground and I also heard a couple of branches breaking on trees. Then the noises started again, by then I ws starting to get scared because for one thing I couldn't see outside my tent and the other thing was that I was alone.  The noises stopped and I made up my mind to get outside, so I started to unzip the inside of the tent, as I did I tripped trying to get outside. By then I got up and turned on my flashlight on, spun around but seen nothing and smelled nothing. Whatever was out there didn't make anymore noise but I knew whatever it is, was still there. I would estimate the noises were less than 30 feet away probarlly closer, that's how close it was. I then grabbed my tent, ran with it to my truck and threw in the back, grabbed the rest of my stuff and I was gone!!!!",I have read that there was a sighting less than 1 mile from there.,"I was camping and asleep, there were 2 other campsites being used but 1 of them left around 8:00pm. Where my campsite was at I could not see the other campsites that were being used.",,"June 6, 1996, 11:44pm.","The day was sunny, no clouds were visible and very warm. It hadn't rained for at least 3 weeks. My campsite was about 60 to75 feet away from the water. Artound my campsite there was pinetrees, some other various types and semi brushy in some areas.",6
693,1727,2000,Summer,June,CA,Humboldt County,8 miles east of Stone Lagoon as the crow flies.  Extremely limited access as you must also cross Simpson and Nat For gates. Turn off 101 onto Old State HWY 101 and then thru Simpson lands. Off the M-  line. Can get GPS location if desired ,"Orick, Ca","Bald Hills Rd, off West Side Access rd","My neighbor is a seasonal wildlife biological technician for Redwood National Park.  He has been working several seasons doing Spotted Owl surveys and is very familiar with local wildlife. One evening just before sunset he and his partner were walking with a cage of six mice that had sat in the same cage without being cleaned for 3 or 4 days and it smelled to high hell. They were several miles south of Bald Hills Road at about 2,000 feet up an approximately 3,000 foot mountain in extremely rugged and isolated terrain several miles from the nearest logging road. After bushwhacking for about thirty minutes heading downhill they stopped in their tracks when they heard a large branch snap.  There are a lot of bears and mountain lions in the area and they are familiar with with stalking cats.  The creature was quick and agile like a cat but sounded heavier than a bear.  It also sounded like it was walking on two legs.  They would hear it behind them and a little later it would be way ahead of them, sometimes on the other side of them They figured it was crossing right behind them and then passing them up on the other side.  By this time it was getting dark in the forest, late twilight, when my friend started looking over his shoulder quite frequently.  It was at this time that he saw a large dark animal dash across their trail on two legs.  He has seen the P-G Film and is familiar with sasquatch and he says that it moved with the same motion, just much quicker. He also noted it seemed a little thinner than Patty.",His impression was that it was like a curios teenage boy acting a little immature,2 heard it and 1 saw it.,no,"twilight, good enough to see the shape clearly, but too dim to make out any detail. Nice clear summer day just past the coastal fog zone",forty year old second growth and limited old growth residuals.  Extremely rugged up and down mixed woodlands.  below the ridge and above the stream,2nd tues
697,1742,1974,Fall,October,CA,Los Angeles County,"Quartz Hill California, House is located on L-10, between 45th and 47th Streets.",Quartz Hill,L-10,I have to much information to list.  I have a video tape please  contact me.                                                               ,,"Two, me and my cousin chopping wood.",     Many sightings in this area.,"Windy, clear night.",   High Desert,
718,1792,1966,Summer,July,CA,Siskiyou County,East Boulder Lake serves as a reservior for the city of Callahan. It is about seven miles from town up the watershed. Access is easiest from Mosquito Lake which is due south. About a four hour light hike on granite outcrops that cut a path through the buck brush and Jeffrey pine.,Callahan,State Hwy 3,"I was working as a councilor at wilderness summer camp based at Mosquito Lake. Several councilors would sign up each session for excursions on  1 to 3 nights away in the back country. This hike was during the second session in early July. We had completed the major stretch of the four hour journey when we came over the ridge and could see East Boulder about 3/4 of a mile below.  There were 4 councilors and about 25 boys and girls ranging in age from 9 through 15. We had stopped for a last gulp of water at a clearing just below the rim of the ridge when several of the campers began to squeal excitedly and pointing at the steep slope directly to the northeast and to the right of us. Not more than 50 feet away at the same elevation stood an erect hairy creature looking right back at us. One of the kids yelped, ""It's a bear!"" Tim, one of the councilors, muttered, ""That's no bear.""  The details are still vivin in my memory. The creature was leaning against its left arm which pushed it out from the canyon wall. The right arm swung back and forth as if for balance and it bobed its head irregularly. It was about 5'6"" tall, covered with long reddish brown fur with a large flat face and round yellow eyes. During a discussion later, Sunny, who was studying biology at UC Davis, insisted that she observed the creature to have a hairless chest with large round protruding nipples. This led her to conclude that it was possibly female.  The creature held its ground for a little over 1 minute before it spun around and ran away from out group upward towards the rim to the right of us. As it ran it sent a landslide of skree down into the valley below. When it reached the ridge it turned and peered back at us once again and then disappeared over the edge.  Much excitement followed and the decision to continue down to the lake and set up camp was made. Curiously, there didn't seem to be a trace of fear among the children although all the councilors, myself included, did admit later to being afraid.  The first thing after dark that I noticed was a powerful odor that came from the Ponderosa grove. The closest comparison I can come up with is that the smell is skunk like but muskier with a hint of urine. The entire camp began to get a whiff of this odor and the animated discussion about the sighting during the afternoon became hushed. In the quiet we could hear landslides from a number of different places midway up the ridge, a dim green light about the size of a small grapefruit. The odor intensified and the snapping of branches not more than 10 yards away sent the whole bunch of us into a cluster around the fire. The odor was intense when a large shadow figure took several long deliberate strides through a gap in the trees. It had to be about 7 feet tall. I saw this creature only once but others in the group saw several dark forms over the next 2 hours.  Shortly after midnight an 11 year old boy in the group began to complain of great pain in his lower abdomen. This pain increased over the next hour to the point that he was laying on the ground pulling his legs up towards his chest. The councilors agreed that it appeared that the camper was having an appendicitis attack. We drew sticks and Larry and Tim headed out in the dark back to the main camp to bring a stretcher with a four wheel drive truck to the logging road just over the south ridge. Sunny and I remained with the group, some of them sleeping and others tending the campfire. At the point when Tim and Larry's flashlights were no longer visible, the odor departed as well and the night became still and quiet.  The next morning shortly after dawm, Tim Larry and Warren, the camp director, arrived at the camp with a olive green military stretcher.  Warren would later question every member of the group. He observed that the key elements of the story were consistent in each telling. He conceded that we had indeed experienced something strange but insisted that the concilors present agree to the possibility that what we had seen were bears. ",The green lights remain a mystery.  This definately appeared to be a group or family. In my opinion they meant no harm and were genuinely curious about the children. They did not make any loud screame or stomp as reported in other sightings. They did not appear to want to scare the kids.  This was the last excursion to East Boulder Lake that Summer.,,,The height of summer. Warm and clear. Not a cloud in the sky.  Bright reflections off of granite rock faces. Light breeze.,First sighting was on the ridge that rises at the southern end of East Boulder Lake. A well worn path decends several hundred feet down past two small washbasin lakes to the shore of East Boulder.  The rim of the canyon is barren and constructed of skree and talus.  Second sighting was at the campfire on the west side of East Boulder Lake. The basin surrounding the lake is used as grazing land for cattle with scrub oak along the western shore line of the lake and a dense grove of Ponderosa that runs along the base of the steep western rim. The broken remains of a small wooden platform sits half way between the lake and the pine grove. A rusted bed frame and cast iron stove lay nearby in the tall summer grass. Cattle wander lazily in the pasture on the east side of the lake.,early july
719,1794,1991,Spring,April,CA,Humboldt County,"Like I said earlier, there is this gift shop that is completely contained inside a living redwood tree on the highway 101 ave of the giants scenic route. About 5 miles north of that is a small day use area with a small parking lot and restroom. I believe there are several trails leading out of there. We took the one to the north. It's very heavily forested in the area and doesn't seem to get much use although I cant't be sure.",Two small towns close to Eureka,101 (ave of the giants scenic route),"I accidently wrote my experience down in the space that was supposed to be used to describe weather conditions. It was late afternoon, clear skies and good visibility although the tree canopy blocks out a good deal of sunlight from the forest floor.Look in the weather/time of day section for my report (sorry) I don't type very well and haven't the time to re-do everything.",dead silence.no bugs.nothing.prior to incident.H,myself and my exwife.We were taking a short hike for the afternoon.,,"In april of 1991 my exwife and I were on vacation headed to Crescent City, CA. The reason I remember the date is because I called my mom on that trip to wish her a happy birthday. Driving up the 101 we saw the ave of the giants scenic rout sign so not being in a hurry we took it headed north. Now I'm not sure ot the exact location but between two small towns maybe five miles north of where this gift shop that is actually carved out of a living redwood tree is (I hope that helps) there is a small parking lot off to the right where you can park and walk along some trails that I believe run parallel to the highway. I think the area is intended for day use only. well, we stopped and took a walk down this trail just to take in some of the scenery when about 200 yards down the trail my wife began to get this feeling something was off to the right. I told her it was her imagination when all of a sudden from that direction came this yell or howl that made my skin crawl. It!! started what seemed to be a good distance off in the thick forest and then moved rapidly closer. What startled me was the speed at which the source of the sound traveled. The howl itself sounded halfway between a human voice yelling ""Ahhhhhh"" and the high pitched sound of an elk. It wasn't an elk or human or bear as near as I can tell though and what ever it was moved very fast. We didn't see anything though but we got the distinct feeling weren't welcome in the area. As it seemed to get to what seemed to be around 75 yards away we ran back to the car and promptly left. We never could figure it out so we just dropped the subject. My ex is a superstitious sort and at first started trying to explain it away as a ghost which me want to drop the subject even quicker. But the issue has always unsettled me and when I heard some of the recordings of bigfoot screams on this or some other b.f. website, one in particular was exactly like what I heard that day. I still don't know what it was of !! or sure but I'll never forget it ",very thick redwood forest with a lot ferns at least in the area we were in.,8 th.
745,1919,1983,Spring,October,CA,Tuolumne County,Specific location available to BFRO researchers.,Sonora,Highway 108,"On or about oct.25th 1983, a friend and myself went to look at a three wheeled motorcycle from an ad above Sonora, CA. We arrived in late afternoon, met the lady that wanted to sell it. We entered a fenced area w/a large gate. The area was about thirty feet across [hard packed red clay], w/ an old shed to the right against some manzanita brush. To the right was a trail through the brush leading to a cabin [unoccupied for years] and unfinished. It was built against the side off a hill where you could walk into it from the trail but when you looked out the window off the main room it was about a forty-foot drop [it was partially on stilts] to the ground. I am an outdoors person, hunter, fishing, hiking, etc., but I didnt feel good about this place. We had trouble starting the trike and I recommended leaving it, but my friend wanted it badly and the lady persuaded him to stay the night in the cabin and she would rent a trailer the next day. We went to Sonora for dinner and came back about 8:00 pm. We pulled into the gate [the lady lived about an eighth of a mile up the mountain in a mobile home]. As we exited the 1951 GMC P.U. and walked towards the trail, the brush to the right of it parted and out stepped this huge figure, like a man but taller [we are both 6 feet tall] and wider. It was a dark night but it was darker than the brush and silhouetted very well. It was about ten to twelve feet away and looked right at us. My friend jumped into the truck and I pulled my bowie knife out and swept it back and forth as I backed onto the hood of the truck w/out turning away from it. It casually turned to its left and started across the clearing towards the shed. As it moved it partially turned its head/torso towards me and made a ""huff"" noise, arms swinging as it crossed the thirty feet in about four strides, turning away from us. We spent a sleepless night in the cabin, as the door didnt have a knob or lock.",,,,,,25
754,1953,1963,Winter,December,CA,Tuolumne County,"Take Highway 108 to Strawberry, California. The location is about 2 miles northwest of Strawberry in Leland Meadow. ",Strawberry,Highway 108,"The Deputy Sheriff from Pinecrest reported hundreds of 15 inch tracks with a 5 foot stride in Leland Meadow, a popluar recreation area.  No casts were made, but news of the tracks made the local paper, the Union Democrat. ",,Sheriff came to the location because the footprints were reported by local residents.,,"early morning, tracks were in the snow.","Pine forest, about 6,000 feet in elevation.",
755,1954,1971,Summer,August,CA,Tuolumne County,"Located above Strawberry, in Tuolumne County.",Strawberry,Highway 108,"From the Union Democrat:  Warren Johnson, his brother Louis, and several friends experienced many unusual experiences above Strawberry, California.  They often found footprints, heard moans, grunts, snarls, snorts, tooth-popping and chest-beating.  Louis Johnson also reported that he had looked out through a hole in the shelter wall, saw a shape enter a patch of moonlight and leave again as soon as he tried to call someone's attention to it. Johnson estimates the size as 10 feet tall, four feet across the shoulders and as much as 750 pounds. Tracks were found that were 22 inches in length and had a five-foot stride.  The entire experience is accounted in ""Bigfoot"", by Ann Slade and Alan Berry, 1976, Bantam Books.",,,,late night,"Pine forest, at about 6,000 feet elevation.",
756,1955,1977,Fall,October,CA,Tuolumne County,"Take Highway 108 to Strawberry, California.  The recreational residences are located around Pinecrest Lake.",Strawberry,Highway 108,"A witness reported that at around 1:00 a.m., approximately two minutes of extremely loud screaming was heard. The scream appeared to less than 50 meters from the recreational cabins. The scream was loud and high pitched. The cabin was located in the southeast portion of the lake, with no other cabins behind it.",,,,late night.,"Pine forest at about 6,000 feet elevation.",
757,1963,1999,Summer,August,CA,Tuolumne County,"This occurred in the Emigrant Wilderness, just outside of Kennedy Meadow.  Take the trail to Relief Reservoir.  This happened near the first major bridge that crosses the Kennedy Soda Can Creek, at a flat that is good for camping.",Strawberry,Highway 108,"During the last week of August, 1999, myself and a friend left the Kennedy trailhead about an hour before dark.  After about 1.5-2 hours of hiking, we decided to camp.  We had just crossed the first major bridge over the Kennedy Soda Can Creek, and we doubled back a ways to a flat spot to camp for the night.  We were about 15 yards from the creek itself.  Around midnight to 1:00 a.m., I was drifting off to sleep when I heard a large, heavy, two-legged creature walking across the creek.  Since the creek was deep, I could clearly hear it splashing.  It would walk a little while, stop, then continue.  This went on for about a minute.  Although we did see another camper about 200-300 feet away, I can't imagine why someone would be walking across the creek at that time of night.","No, I didn't notice any smells, other sounds, or footprints.",One.  I was trying to sleep.  My friend did not hear anything.,"Sometime between 1961 and 1963, while I was staying at a rented cabin at Strawberry, I had walked down to the creek, near the road that goes out of the backside of Pinecrest Lake (very near the old bridge).  I was about 200-300 feet from the cabin, and only 15 feet from a small pine tree, when all of a sudden it began shaking violently.  It shook for several seconds, stopped, then did it again.  I ran back to the cabin and never saw what caused the shaking.","Between midnight and 1:00 a.m.  There was a full or near full moon that night, which allowed us to hike at night.","Pine Forest, at about 8,000 feet in elevation.",
770,2037,1997-98,Summer,,CA,Plumas County,"The different locations were around Slate Creek, Plumas National Forest, Plumas Co, Ca., approximately 12 east of La Porte, Ca.","La Porte, California",Quincy-La Porte Road,"Various things observed during 2 summer field seasons working on my Master's degree thesis in the Northern Sierra ( 14 months total). 1) I stopped to look at a topographic map about 20 miles west of Quincy,Ca on the Quincy-LaPorte Rd-heard a modulated guttural scream-did not see anything-area is open Douglas Fir forest. 2) 3 different instances smelled a strong human feces smell while hiking -mostly in trailless manzanita/Douglas Fir/Talus slope areas-Slate Creek area. This area has great topographic relief. 3) Set of footprints and 3 pieces of feces -Upper Slate Creek. Footprints were found in soft fine silt overbank deposits on a meander of the creek and were approximately 11 inches long. I could very easily see the dermal ridges of the 5 toes, ball and heal. No discernable ball of foot was observed. Footprints were ""square""-almost all toes were of equal length,ie: flat across the top. The 3 pieces of feces were approx. 3 inches long and 2 inches wide -light and dark brown mottled. A very faint human feces smell was observed.",no,"None- Only other person I saw in this whole area was a miner friend, that hiked with me on one instance in 14 months-did not observe anything on this one trip.",no,Daylight-warm and very dry,Different locations in mountain country-roadless area of high relief Douglas Fir forest with Manzanita and brush that is very difficult to hike through (many times I had to use fluorescent colored strips to find my way out )-a few trails from hobby placer miner's and remnants of  hydraulic mining flume ditches from the 1850's. ,various
